/home/ilchae/dataset/ILSVRC/Data/VID/train/ ./modules/imagenet_arrange.pkl
==== Start Cycle 0 ====
Cycle  0, K 81 (1495), BinLoss 1.193, TripleLoss 0.186, Prec 0.263, Time 1.171
Cycle  0, K 82 (1363), BinLoss 1.144, TripleLoss 0.227, Prec 0.192, Time 1.176
Cycle  0, K 83 (1070), BinLoss 1.156, TripleLoss 0.165, Prec 0.345, Time 1.238
Cycle  0, K 84 (346), BinLoss 1.423, TripleLoss 0.207, Prec 0.188, Time 1.018
Cycle  0, K 85 (614), BinLoss 1.648, TripleLoss 0.181, Prec 0.115, Time 1.118
Cycle  0, K 86 (1043), BinLoss 1.058, TripleLoss 0.251, Prec 0.230, Time 1.123
Cycle  0, K 87 (837), BinLoss 1.062, TripleLoss 0.276, Prec 0.329, Time 1.057
Cycle  0, K 88 (1010), BinLoss 0.857, TripleLoss 0.200, Prec 0.289, Time 0.207
Cycle  0, K 89 (284), BinLoss 0.727, TripleLoss 0.234, Prec 0.320, Time 1.026
Cycle  0, K 90 (1316), BinLoss 0.985, TripleLoss 0.446, Prec 0.268, Time 1.320
Cycle  0, K 91 (719), BinLoss 1.490, TripleLoss 0.232, Prec 0.437, Time 1.223
Cycle  0, K 92 (1220), BinLoss 0.768, TripleLoss 0.198, Prec 0.282, Time 1.374
Cycle  0, K 93 (681), BinLoss 1.097, TripleLoss 0.276, Prec 0.378, Time 1.131
Cycle  0, K 94 (912), BinLoss 0.864, TripleLoss 0.210, Prec 0.174, Time 1.148
Cycle  0, K 95 (221), BinLoss 0.749, TripleLoss 0.202, Prec 0.291, Time 1.229
Cycle  0, K 96 (1427), BinLoss 0.819, TripleLoss 0.270, Prec 0.207, Time 1.040
Cycle  0, K 97 (742), BinLoss 1.218, TripleLoss 0.165, Prec 0.366, Time 1.331
Cycle  0, K 98 (1006), BinLoss 1.023, TripleLoss 0.104, Prec 0.141, Time 0.190
Cycle  0, K 99 (368), BinLoss 1.079, TripleLoss 0.168, Prec 0.403, Time 1.213
Cycle  0, K 100 (1194), BinLoss 0.717, TripleLoss 0.264, Prec 0.226, Time 1.107
Cycle  0, K 101 (514), BinLoss 0.784, TripleLoss 0.210, Prec 0.173, Time 1.162
Cycle  0, K 102 (864), BinLoss 0.888, TripleLoss 0.283, Prec 0.242, Time 1.235
Cycle  0, K 103 (1465), BinLoss 0.904, TripleLoss 0.156, Prec 0.267, Time 1.225
Cycle  0, K 104 (1196), BinLoss 1.114, TripleLoss 0.135, Prec 0.156, Time 1.059
Cycle  0, K 105 (1121), BinLoss 0.987, TripleLoss 0.339, Prec 0.154, Time 1.038
Cycle  0, K 106 (424), BinLoss 0.998, TripleLoss 0.092, Prec 0.354, Time 1.147
Cycle  0, K 107 (684), BinLoss 1.133, TripleLoss 0.251, Prec 0.235, Time 1.114
Cycle  0, K 108 (323), BinLoss 0.868, TripleLoss 0.168, Prec 0.293, Time 1.125
Cycle  0, K 109 (1058), BinLoss 1.075, TripleLoss 0.220, Prec 0.127, Time 1.922
Cycle  0, K 110 (824), BinLoss 0.982, TripleLoss 0.225, Prec 0.208, Time 1.067
Cycle  0, K 111 (1314), BinLoss 0.672, TripleLoss 0.263, Prec 0.160, Time 1.170
Cycle  0, K 112 (1256), BinLoss 0.680, TripleLoss 0.160, Prec 0.239, Time 1.966
Cycle  0, K 113 (634), BinLoss 0.874, TripleLoss 0.180, Prec 0.290, Time 1.275
Cycle  0, K 114 (310), BinLoss 0.927, TripleLoss 0.107, Prec 0.132, Time 1.173
Cycle  0, K 115 (646), BinLoss 0.878, TripleLoss 0.211, Prec 0.135, Time 1.091
Cycle  0, K 116 (758), BinLoss 0.893, TripleLoss 0.196, Prec 0.331, Time 0.372
Cycle  0, K 117 (333), BinLoss 0.802, TripleLoss 0.303, Prec 0.395, Time 1.277
Cycle  0, K 118 (313), BinLoss 0.767, TripleLoss 0.140, Prec 0.338, Time 1.440
Cycle  0, K 119 (134), BinLoss 0.666, TripleLoss 0.362, Prec 0.189, Time 1.082
Cycle  0, K 120 (1074), BinLoss 0.792, TripleLoss 0.216, Prec 0.222, Time 0.908
Cycle  0, K 121 (1118), BinLoss 0.832, TripleLoss 0.210, Prec 0.176, Time 1.412
Cycle  0, K 122 (980), BinLoss 0.956, TripleLoss 0.227, Prec 0.551, Time 1.025
Cycle  0, K 123 (1147), BinLoss 0.822, TripleLoss 0.293, Prec 0.323, Time 1.148
Cycle  0, K 124 (30), BinLoss 0.883, TripleLoss 0.218, Prec 0.233, Time 1.171
Cycle  0, K 125 (872), BinLoss 0.964, TripleLoss 0.181, Prec 0.396, Time 1.231
Cycle  0, K 126 (71), BinLoss 0.879, TripleLoss 0.229, Prec 0.226, Time 1.332
Cycle  0, K 127 (896), BinLoss 1.010, TripleLoss 0.210, Prec 0.187, Time 1.529
Cycle  0, K 128 (699), BinLoss 0.864, TripleLoss 0.162, Prec 0.226, Time 2.047
Cycle  0, K 129 (23), BinLoss 1.102, TripleLoss 0.354, Prec 0.304, Time 1.020
Cycle  0, K 130 (517), BinLoss 0.949, TripleLoss 0.252, Prec 0.181, Time 1.166
Cycle  0, K 131 (561), BinLoss 1.032, TripleLoss 0.136, Prec 0.354, Time 0.282
Cycle  0, K 132 (1106), BinLoss 0.940, TripleLoss 0.357, Prec 0.183, Time 1.319
Cycle  0, K 133 (544), BinLoss 0.768, TripleLoss 0.185, Prec 0.306, Time 1.154
Cycle  0, K 134 (19), BinLoss 1.803, TripleLoss 0.259, Prec 0.202, Time 1.242
Cycle  0, K 135 (1476), BinLoss 0.765, TripleLoss 0.327, Prec 0.183, Time 1.376
Cycle  0, K 136 (553), BinLoss 1.020, TripleLoss 0.149, Prec 0.299, Time 1.029
Cycle  0, K 137 (832), BinLoss 0.785, TripleLoss 0.134, Prec 0.376, Time 1.124
Cycle  0, K 138 (652), BinLoss 1.360, TripleLoss 0.173, Prec 0.215, Time 1.055
Cycle  0, K 139 (708), BinLoss 0.804, TripleLoss 0.096, Prec 0.215, Time 1.213
Cycle  0, K 140 (214), BinLoss 0.611, TripleLoss 0.295, Prec 0.281, Time 0.112
Cycle  0, K 141 (83), BinLoss 0.713, TripleLoss 0.222, Prec 0.225, Time 1.255
Cycle  0, K 142 (531), BinLoss 1.012, TripleLoss 0.186, Prec 0.166, Time 1.134
Cycle  0, K 143 (1355), BinLoss 1.267, TripleLoss 0.273, Prec 0.226, Time 1.186
Cycle  0, K 144 (763), BinLoss 0.712, TripleLoss 0.308, Prec 0.359, Time 0.286
Cycle  0, K 145 (984), BinLoss 0.742, TripleLoss 0.236, Prec 0.321, Time 1.258
Cycle  0, K 146 (533), BinLoss 0.993, TripleLoss 0.166, Prec 0.288, Time 1.168
Cycle  0, K 147 (1116), BinLoss 0.779, TripleLoss 0.153, Prec 0.166, Time 1.258
Cycle  0, K 148 (168), BinLoss 0.641, TripleLoss 0.102, Prec 0.260, Time 1.755
Cycle  0, K 149 (914), BinLoss 0.992, TripleLoss 0.273, Prec 0.214, Time 1.057
Cycle  0, K 150 (1241), BinLoss 0.989, TripleLoss 0.217, Prec 0.161, Time 1.236
Cycle  0, K 151 (449), BinLoss 0.993, TripleLoss 0.256, Prec 0.204, Time 1.233
Cycle  0, K 152 (1345), BinLoss 0.829, TripleLoss 0.324, Prec 0.319, Time 0.442
Cycle  0, K 153 (888), BinLoss 0.847, TripleLoss 0.260, Prec 0.244, Time 0.938
Cycle  0, K 154 (1280), BinLoss 0.826, TripleLoss 0.140, Prec 0.264, Time 1.389
Cycle  0, K 155 (348), BinLoss 0.714, TripleLoss 0.091, Prec 0.185, Time 0.960
Cycle  0, K 156 (881), BinLoss 1.214, TripleLoss 0.207, Prec 0.231, Time 1.219
Cycle  0, K 157 (149), BinLoss 1.062, TripleLoss 0.209, Prec 0.115, Time 1.290
Cycle  0, K 158 (459), BinLoss 1.127, TripleLoss 0.243, Prec 0.203, Time 1.280
Cycle  0, K 159 (710), BinLoss 0.886, TripleLoss 0.266, Prec 0.316, Time 0.581
Cycle  0, K 160 (1030), BinLoss 0.813, TripleLoss 0.287, Prec 0.199, Time 1.370
Cycle  0, K 161 (120), BinLoss 0.891, TripleLoss 0.127, Prec 0.295, Time 1.351
Cycle  0, K 162 (1247), BinLoss 0.848, TripleLoss 0.230, Prec 0.318, Time 0.425
Cycle  0, K 163 (411), BinLoss 1.495, TripleLoss 0.265, Prec 0.279, Time 1.245
Cycle  0, K 164 (369), BinLoss 0.730, TripleLoss 0.211, Prec 0.168, Time 1.337
Cycle  0, K 165 (394), BinLoss 0.645, TripleLoss 0.270, Prec 0.268, Time 1.159
Cycle  0, K 166 (537), BinLoss 0.977, TripleLoss 0.183, Prec 0.352, Time 1.132
Cycle  0, K 167 (630), BinLoss 0.734, TripleLoss 0.184, Prec 0.355, Time 1.332
Cycle  0, K 168 (765), BinLoss 0.695, TripleLoss 0.301, Prec 0.247, Time 1.085
Cycle  0, K 169 (412), BinLoss 0.761, TripleLoss 0.205, Prec 0.126, Time 1.292
Cycle  0, K 170 (472), BinLoss 0.988, TripleLoss 0.120, Prec 0.214, Time 1.099
Cycle  0, K 171 (814), BinLoss 0.829, TripleLoss 0.166, Prec 0.295, Time 1.121
